anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
False,44539509.0,sfshania,3404.0,2428244073.0,"Kerennn langsung bisaaa, harganya juga terjangkau dan responnya cepet👍🏼",842.0,1156.0,1590048210.0,1.0,4424230615.0,1590048210.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,44540895.0
,,,,,,,,,,,,,,,,,,,,,,,
True,10892742.0,a*****1,3404.0,2349860344.0,"Makasih ya kak. Akun netflix 1 tahun privatenya udah jadi. Prosesnya sangat cepat, sellernga juga ramah. Semoga lancar sampe setahun.",842.0,1156.0,1588839931.0,1.0,4424230615.0,1588839931.0,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1.0,4661.0,7.0,0.0,2.0,6.0,7804.0,5.0,43809563.0,10894042.0
,,,,,,,,,,,,,,,,,,,,,,,
False,25198157.0,novianw18,2678.0,2458556062.0,Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..,284.0,680.0,1590704721.0,1.0,4822872755.0,1590704721.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,25199493.0
,,,,,,,,,,,,,,,,,,,,,,,
False,76797648.0,nsrnkamila,2678.0,2410323537.0,"Repurchase disini soalnya nyaman banget! Adminnya fastrespons, habis itu akunnya nggak pernah ada kendala sama sekali. Lancar jaya selama sebulan penuh pemakaian. Luv luv pokoknya <3",284.0,680.0,1589780290.0,1.0,4822872755.0,1589780290.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,76799119.0
,,,,,,,,,,,,,,,,,,,,,,,
True,21896705.0,l*****p,2678.0,2351323291.0,"cepet banget prosesnya sellernya ramah dan cepet bales chatnya, happy bgt
selamat menjalankan PSBB guys
netflix and chill..................",284.0,680.0,1588853953.0,1.0,4822872755.0,1588853953.0,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1.0,1316.0,2.0,4.0,1.0,44.0,3584.0,5.0,134248812.0,21898041.0
,,,,,,,,,,,,,,,,,,,,,,,
